Extraction Date:,7/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2013,ALABAMA,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,0,6,6,25,61,12,0,8,104,112,0,112,1,111,0,0,90,1,0,0,21
2013,ALABAMA,Home,All Disabilities,51,68,65,0,0,39,13,0,3,129,65,119,0,184,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,ALABAMA,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,15,13,7,15,15,12,22,26,29,23,16,10,7,1,65,127,34,226,3,223,93,133,0,3,75,12,0,0,136
2013,ALABAMA,Inside regular class 40% through 79% of day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252,256,297,359,357,385,378,351,368,329,367,364,269,102,45,6,1906,2157,422,4485,141,4344,1487,2998,31,25,1852,177,1,53,2346
2013,ALABAMA,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4434,4860,5099,5146,5171,5010,5108,5100,4833,4885,4682,4185,2618,474,63,3,29720,28793,3158,61671,1466,60205,20164,41507,467,296,23866,2318,31,752,33941
2013,ALABAMA,Inside regular class less than 40% of day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328,335,329,352,384,355,371,377,366,359,370,353,274,226,183,33,2083,2196,716,4995,123,4872,1733,3262,29,56,2133,196,3,55,2523
2013,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),All Disabilities,293,699,1221,7,23,704,79,2,50,1348,713,1500,18,2195,2213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),All Disabilities,51,71,138,1,3,52,21,0,2,181,78,182,6,254,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,ALABAMA,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,69,66,31,16,16,10,5,4,6,5,4,0,0,0,0,258,34,0,292,0,292,95,197,1,12,33,2,1,2,241
2013,ALABAMA,"Residential Facility, Age 3-5",All Disabilities,2,8,8,0,0,11,1,0,1,5,6,12,0,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,ALABAMA,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13,18,16,21,27,55,59,85,92,117,110,85,22,31,3,100,518,141,759,1,758,258,501,3,1,352,18,0,21,364
2013,ALABAMA,Separate Class,All Disabilities,92,116,117,1,8,79,21,0,10,206,107,218,2,323,325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,ALABAMA,"Separate School, Age 3-5",All Disabilities,18,31,38,0,1,21,4,0,2,59,26,61,0,87,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,ALABAMA,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,42,51,72,55,76,67,87,99,97,81,82,71,50,41,9,341,513,171,1025,9,1016,302,723,4,11,494,27,1,11,477
