Extraction Date:,7/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2016,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,2,4,14,22,30,4,0,7,70,77,0,77,1,76,0,0,68,0,0,0,9
2016,Alabama,Home,All Disabilities,43,30,35,0,1,22,6,0,1,78,33,75,1,107,108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,11,12,13,6,20,12,12,19,25,22,32,21,10,6,0,66,122,37,225,8,217,88,137,0,5,64,16,0,2,138
2016,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252,378,436,476,463,435,424,434,358,348,340,310,227,91,52,3,2440,2214,373,5027,219,4808,1682,3345,28,37,1849,311,5,97,2700
2016,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4483,5138,5821,6157,6119,5856,5538,5192,4844,4904,4864,4243,2523,423,32,4,33574,29585,2982,66141,1868,64273,21936,44205,563,328,24490,3621,46,1298,35795
2016,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,393,406,413,421,397,383,396,435,432,423,418,384,333,248,170,21,2413,2488,772,5673,242,5431,1945,3728,31,70,2455,343,2,95,2677
2016,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,71,66,64,38,12,5,4,5,6,2,1,3,1,0,0,312,23,4,339,4,335,102,237,0,12,43,12,1,4,267
2016,Alabama,"Residential Facility, Age 3-5",All Disabilities,5,3,4,0,0,8,1,0,0,3,4,8,0,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,Alabama,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,9,15,9,29,28,45,44,64,85,97,104,51,28,27,7,98,439,113,650,1,649,212,438,4,2,278,28,1,3,334
2016,Alabama,Separate Class,All Disabilities,58,58,98,0,3,55,22,1,9,124,66,148,2,212,214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
