school_name,category,value
ARMATAGE,na_num,5
BANCROFT,na_num,49
BETHUNE,na_num,3
BRYN MAWR,na_num,11
BURROUGHS,na_num,6
CITYVIEW COMMUNITY,na_num,12
DOWLING,na_num,11
EMERSON SILC,na_num,8
GREEN,na_num,6
HALE,na_num,4
HALL,na_num,4
HIAWATHA,na_num,6
HOWE,na_num,12
KENNY,na_num,4
KENWOOD,na_num,2
LAKE HARRIET LOWER,na_num,2
LIND,na_num,14
LK NOKOMIS WENONAH,na_num,5
LORING,na_num,8
LUCY LANEY @ CLVLND,na_num,13
LYNDALE,na_num,9
NELLIE STONE JOHNSON,na_num,11
NORTHROP,na_num,13
PILLSBURY,na_num,5
PRATT,na_num,23
SHERIDAN,na_num,15
WAITE PARK,na_num,16
WEBSTER COMMUNITY,na_num,16
WHITTIER,na_num,6
WINDOM,na_num,0
ANDERSEN UNITED,na_num,27
ANISHINABE ACAD,na_num,151
BARTON,na_num,6
FIELD,na_num,9
FOLWELL FINE ARTS,na_num,37
HMONG INTERNATIONAL,na_num,12
JEFFERSON,na_num,8
LAKE HARRIET UPPER,na_num,0
LK NOKOMIS KEEWAYDIN,na_num,13
MARCY OPEN,na_num,16
SEWARD,na_num,22
SULLIVAN,na_num,27
ANTHONY,na_num,3
ANWATIN NEW,na_num,14
FRANKLIN,na_num,16
JUSTICE PAGE,na_num,13
NORTHEAST,na_num,48
OLSON,na_num,10
SANFORD,na_num,76
EDISON HIGH,na_num,38
FAIR HIGH SCHOOL,na_num,5
HENRY HIGH,na_num,18
HERITAGE,na_num,1
NORTH ACADEMY,na_num,5
ROOSEVELT HIGH,na_num,48
SOUTH HIGH,na_num,115
SOUTHWEST HIGH,na_num,18
WASHBURN HIGH,na_num,19
LONGFELLOW,na_num,9
MACC,na_num,3
WELLSTONE,na_num,0
WELLSTONE SWS,na_num,0
HARRISON SEC CTR,na_num,2
RIVER BEND ED CNT,na_num,5
TRANSITION PLUS,na_num,11
AMERICAN IND OIC,na_num,30
CENTER SCHOOL,na_num,38
LORING-NICOLLET,na_num,3
MENLO PARK,na_num,9
MERC,na_num,5
PLYMOUTH YTH CTR,na_num,0
RON MCDONALD HOUSE,na_num,0
VOA PHOENIX,na_num,5
Total,na_num,1194
ARMATAGE,na_pct,0.008264462809917356
BANCROFT,na_pct,0.09741550695825049
BETHUNE,na_pct,0.010948905109489052
BRYN MAWR,na_pct,0.03678929765886288
