school_name,na_num,na_pct,aa_num,aa_pct,as_num,as_pct,hi_num,hi_pct,wh_num,wh_pct,tot,not_eligible_num,reduce_num,free_num,frpl_num,frpl_pct,hi_povnum,aa_povnum,wh_povnum,as_povnum,na_povnum,hi_povsch,aa_povsch,as_povsch,wh_povsch,na_povsch
ARMATAGE,5,0.008264462809917356,119,0.19669421487603306,33,0.05454545454545454,29,0.047933884297520664,416,0.687603305785124,605,464,17,134,615,0.24552845528455283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BANCROFT,49,0.09741550695825049,238,0.4731610337972167,20,0.039761431411530816,93,0.1848906560636183,103,0.2047713717693837,503,114,36,355,505,0.7742574257425743,93,238,103,20,49,0.01561975142761169,0.01852572585039309,0.01,0.008312484868049391,0.04103852596314908
BETHUNE,3,0.010948905109489052,232,0.8467153284671532,8,0.029197080291970802,9,0.032846715328467155,22,0.08029197080291971,274,16,6,287,309,0.948220064724919,9,232,22,8,3,0.0015115888478333893,0.01805869074492099,0.004,0.0017754822048260835,0.002512562814070352
BRYN MAWR,11,0.03678929765886288,148,0.49498327759197325,77,0.25752508361204013,32,0.10702341137123746,31,0.10367892976588629,299,69,31,240,340,0.7970588235294118,32,148,31,77,11,0.0053745381256298285,0.011520199268311668,0.0385,0.0025018158340731175,0.009212730318257957
BURROUGHS,6,0.008108108108108109,71,0.09594594594594595,51,0.06891891891891892,41,0.05540540540540541,567,0.7662162162162162,740,649,13,78,740,0.12297297297297298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CITYVIEW COMMUNITY,12,0.045112781954887216,206,0.7744360902255639,13,0.04887218045112782,9,0.03383458646616541,26,0.09774436090225563,266,26,6,292,324,0.9197530864197531,9,206,26,13,12,0.0015115888478333893,0.016034871954541917,0.0065,0.0020982971511580985,0.010050251256281407
DOWLING,11,0.023060796645702306,187,0.3920335429769392,9,0.018867924528301886,28,0.05870020964360587,242,0.5073375262054507,477,263,18,196,477,0.44863731656184486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMERSON SILC,8,0.01646090534979424,60,0.12345679012345678,6,0.012345679012345678,344,0.7078189300411523,68,0.13991769547325103,486,149,78,262,489,0.6952965235173824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GREEN,6,0.021897810218978103,85,0.3102189781021898,7,0.025547445255474453,160,0.583941605839416,16,0.058394160583941604,274,24,21,278,323,0.9256965944272446,160,85,16,7,6,0.026872690628149145,0.006616330660854674,0.0035,0.0012912597853280607,0.005025125628140704
HALE,4,0.006201550387596899,84,0.13023255813953488,34,0.05271317829457364,35,0.05426356589147287,486,0.7534883720930232,645,567,14,64,645,0.12093023255813953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
