school_name,category,value
ARMATAGE,na_num,3
BANCROFT,na_num,54
BETHUNE,na_num,10
BRYN MAWR,na_num,12
BURROUGHS,na_num,7
CITYVIEW COMMUNITY,na_num,10
DOWLING,na_num,7
EMERSON SILC,na_num,6
FAIR ELEMENTARY,na_num,1
GREEN,na_num,9
HALE,na_num,6
HALL,na_num,1
HIAWATHA,na_num,4
HOWE,na_num,10
KENNY,na_num,2
KENWOOD,na_num,3
LAKE HARRIET LOWER,na_num,2
LIND,na_num,9
LK NOKOMIS WENONAH,na_num,9
LORING,na_num,11
LUCY LANEY @ CLVLND,na_num,11
LYNDALE,na_num,3
NELLIE STONE JOHNSON,na_num,11
NORTHROP,na_num,15
PILLSBURY,na_num,6
PRATT,na_num,16
SHERIDAN,na_num,11
WAITE PARK,na_num,14
WEBSTER COMMUNITY,na_num,11
WHITTIER,na_num,7
WINDOM,na_num,0
ANDERSEN UNITED,na_num,35
ANISHINABE ACAD,na_num,148
BARTON,na_num,6
FIELD,na_num,8
FOLWELL FINE ARTS,na_num,33
HMONG INTERNATIONAL,na_num,9
JEFFERSON,na_num,12
LAKE HARRIET UPPER,na_num,1
LK NOKOMIS KEEWAYDIN,na_num,17
MARCY OPEN,na_num,19
SEWARD,na_num,27
SULLIVAN,na_num,32
ANTHONY,na_num,8
ANWATIN NEW,na_num,17
FRANKLIN,na_num,15
JUSTICE PAGE,na_num,10
NORTHEAST,na_num,50
OLSON MIDDLE,na_num,11
SANFORD,na_num,85
EDISON HIGH,na_num,46
FAIR HIGH SCHOOL,na_num,6
HENRY HIGH,na_num,13
HERITAGE,na_num,1
NORTH HIGH,na_num,6
ROOSEVELT HIGH,na_num,63
SOUTH HIGH,na_num,123
SOUTHWEST HIGH,na_num,20
WASHBURN HIGH,na_num,29
MACC,na_num,0
LONGFELLOW,na_num,10
WELLSTONE,na_num,0
WELLSTONE SWS,na_num,0
HARRISON SEC CTR,na_num,1
RIVER BEND ED CNT,na_num,4
TRANSITION PLUS,na_num,9
AMERICAN IND OIC,na_num,36
CENTER SCHOOL,na_num,20
LORING-NICOLLET,na_num,8
MENLO PARK,na_num,10
MERC,na_num,5
PLYMOUTH YTH CTR,na_num,3
RON MCDONALD HOUSE,na_num,0
VOA PHOENIX,na_num,6
Total,na_num,1243
ARMATAGE,na_pct,0.005
BANCROFT,na_pct,0.10246679316888045
BETHUNE,na_pct,0.03289473684210526
BRYN MAWR,na_pct,0.034383954154727794
BURROUGHS,na_pct,0.009138381201044387
CITYVIEW COMMUNITY,na_pct,0.03215434083601286
DOWLING,na_pct,0.014028056112224449
EMERSON SILC,na_pct,0.012096774193548387
FAIR ELEMENTARY,na_pct,0.04
GREEN,na_pct,0.028391167192429023
HALE,na_pct,0.009146341463414634
HALL,na_pct,0.0044444444444444444
HIAWATHA,na_pct,0.015810276679841896
HOWE,na_pct,0.045871559633027525
KENNY,na_pct,0.0042643923240938165
KENWOOD,na_pct,0.007263922518159807
LAKE HARRIET LOWER,na_pct,0.003838771593090211
LIND,na_pct,0.022388059701492536
LK NOKOMIS WENONAH,na_pct,0.03
LORING,na_pct,0.02689486552567237
LUCY LANEY @ CLVLND,na_pct,0.02702702702702703
LYNDALE,na_pct,0.006134969325153374
NELLIE STONE JOHNSON,na_pct,0.025821596244131457
NORTHROP,na_pct,0.030120481927710843
PILLSBURY,na_pct,0.0160857908847185
PRATT,na_pct,0.057971014492753624
SHERIDAN,na_pct,0.03216374269005848
WAITE PARK,na_pct,0.03309692671394799
WEBSTER COMMUNITY,na_pct,0.049107142857142856
WHITTIER,na_pct,0.012567324955116697
WINDOM,na_pct,0
ANDERSEN UNITED,na_pct,0.03871681415929203
ANISHINABE ACAD,na_pct,0.7326732673267327
BARTON,na_pct,0.008185538881309686
FIELD,na_pct,0.015655577299412915
FOLWELL FINE ARTS,na_pct,0.03896103896103896
HMONG INTERNATIONAL,na_pct,0.017928286852589643
JEFFERSON,na_pct,0.02414486921529175
LAKE HARRIET UPPER,na_pct,0.0015082956259426848
LK NOKOMIS KEEWAYDIN,na_pct,0.036637931034482756
MARCY OPEN,na_pct,0.024967148488830485
SEWARD,na_pct,0.031141868512110725
SULLIVAN,na_pct,0.05387205387205387
ANTHONY,na_pct,0.010471204188481676
ANWATIN NEW,na_pct,0.029876977152899824
FRANKLIN,na_pct,0.03712871287128713
JUSTICE PAGE,na_pct,0.011806375442739079
NORTHEAST,na_pct,0.09615384615384616
OLSON MIDDLE,na_pct,0.030054644808743168
SANFORD,na_pct,0.0874485596707819
EDISON HIGH,na_pct,0.04776739356178609
FAIR HIGH SCHOOL,na_pct,0.027777777777777776
HENRY HIGH,na_pct,0.011786038077969175
HERITAGE,na_pct,0.005291005291005291
NORTH HIGH,na_pct,0.013544018058690745
ROOSEVELT HIGH,na_pct,0.06231454005934718
SOUTH HIGH,na_pct,0.06829539144919489
SOUTHWEST HIGH,na_pct,0.01044932079414838
WASHBURN HIGH,na_pct,0.01758641600970285
MACC,na_pct,0
LONGFELLOW,na_pct,0.11494252873563218
WELLSTONE,na_pct,0
WELLSTONE SWS,na_pct,0
HARRISON SEC CTR,na_pct,0.030303030303030304
RIVER BEND ED CNT,na_pct,0.05063291139240506
TRANSITION PLUS,na_pct,0.03383458646616541
AMERICAN IND OIC,na_pct,0.8780487804878049
CENTER SCHOOL,na_pct,0.5714285714285714
LORING-NICOLLET,na_pct,0.13333333333333333
MENLO PARK,na_pct,0.14492753623188406
MERC,na_pct,0.08928571428571429
PLYMOUTH YTH CTR,na_pct,0.02027027027027027
RON MCDONALD HOUSE,na_pct,0
VOA PHOENIX,na_pct,0.06060606060606061
Total,na_pct,0.035256410256410256
ARMATAGE,aa_num,124
BANCROFT,aa_num,235
BETHUNE,aa_num,252
