Extraction Date:,6/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,2/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2012,ALABAMA,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,0,8,117,125,1,124,4,121,0,0,101,2,0,0,22
2012,ALABAMA,Home,All Disabilities,1,1,57,12,0,2,164,63,174,1,236,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,66,132,36,234,0,234,104,130,1,3,82,8,0,0,140
2012,ALABAMA,Inside regular class 40% through 79% of day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,1871,2344,451,4666,150,4516,1590,3076,27,36,1961,164,0,50,2428
2012,ALABAMA,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,28748,28585,3222,60555,1309,59246,19696,40859,449,267,23757,1974,21,541,33546
2012,ALABAMA,Inside regular class less than 40% of day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,1955,2091,728,4774,107,4667,1625,3149,30,49,2070,162,4,37,2422
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),All Disabilities,7,15,632,62,1,35,1198,573,1377,20,1930,1950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),All Disabilities,1,9,63,14,0,3,186,81,195,1,275,276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,267,25,0,292,0,292,83,209,0,10,30,2,0,2,248
2012,ALABAMA,"Residential Facility, Age 3-5",All Disabilities,0,0,9,1,0,0,4,6,8,0,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,123,516,143,782,0,782,262,520,5,1,348,19,0,13,396
