Extraction Date:,7/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2015,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,0,3,4,5,10,45,9,0,8,69,77,0,77,2,75,0,0,69,0,0,0,8
2015,Alabama,Home,All Disabilities,45,43,19,1,1,18,7,0,1,79,33,74,1,106,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,17,7,18,11,12,18,18,20,31,28,21,6,1,0,69,127,28,224,5,219,91,133,1,3,60,13,1,1,145
2015,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,286,318,388,402,433,435,431,390,350,350,330,316,230,100,35,5,2262,2167,370,4799,205,4594,1569,3230,30,37,1803,273,2,66,2588
2015,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4386,5155,5670,5818,5769,5499,5200,4813,4956,4995,4647,4300,2591,430,38,1,32297,28911,3060,64268,1680,62588,21163,43105,491,303,24008,3092,41,1109,35224
2015,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,373,395,393,365,365,386,427,425,434,400,398,389,344,222,173,37,2277,2473,776,5526,195,5331,1890,3636,28,66,2360,283,1,76,2712
2015,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,69,82,45,18,13,10,8,8,2,1,6,2,0,0,0,285,35,2,322,2,320,103,219,0,5,38,10,1,4,264
2015,Alabama,"Residential Facility, Age 3-5",All Disabilities,1,4,2,0,0,5,0,0,1,1,2,5,0,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,12,9,29,25,33,37,46,69,89,98,91,73,37,21,4,118,430,135,683,1,682,225,458,1,2,309,19,0,6,346
2015,Alabama,Separate Class,All Disabilities,59,85,72,0,5,65,24,0,5,117,64,152,1,215,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Separate School, Age 3-5",All Disabilities,16,13,28,0,0,15,2,1,3,36,13,44,0,57,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,65,64,55,55,84,67,91,76,98,86,78,50,48,44,8,365,496,150,1011,14,997,326,685,4,12,420,45,1,26,503
2015,Alabama,Service Provider Location,All Disabilities,256,289,174,0,14,141,53,0,17,494,233,486,5,714,719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),All Disabilities,247,658,1399,2,32,620,108,1,65,1476,691,1613,48,2256,2304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),All Disabilities,55,60,116,0,1,58,16,1,6,149,78,153,2,229,231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),All Disabilities,552,1159,1615,0,52,1134,171,1,76,1892,958,2368,44,3282,3326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),All Disabilities,107,138,156,1,5,100,30,0,10,255,141,260,7,394,401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Total, Age 3-5",All Disabilities,1338,2449,3581,4,110,2156,411,4,184,4499,2213,5155,108,7260,7368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Total, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5165,6020,6623,6721,6683,6461,6184,5791,5912,5954,5594,5212,3316,853,357,64,37673,34647,4590,76910,2102,74808,25369,51541,555,428,29067,3735,47,1288,41790
2015,Alabama,Correctional Facilities,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Home,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Homebound/Hospital,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,4,18,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Inside regular class 40% through 79% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,409,292,61,762,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Inside regular class 80% or more of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1858,1754,128,3740,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Inside regular class less than 40% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,670,614,162,1446,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Parentally Placed in Private Schools,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,15,1,28,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Residential Facility, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Residential Facility, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,30,34,68,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,Separate Class,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,Alabama,"Separate School, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
