Extraction Date:,7/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2017,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3,2,2,15,14,2,0,5,33,38,0,38,0,38,0,0,31,0,0,0,7
2017,Alabama,Home,All Disabilities,48,35,31,0,0,19,13,0,0,82,48,66,1,113,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,9,17,11,17,14,20,15,13,30,33,21,26,13,8,0,82,132,47,261,7,254,105,156,1,5,73,17,0,2,163
2017,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283,330,426,491,538,468,394,394,392,347,328,331,239,80,47,6,2536,2186,372,5094,235,4859,1663,3431,24,37,1868,338,5,110,2712
2017,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4728,5369,5981,6449,6569,6248,5901,5515,5153,4870,4805,4505,2468,403,41,2,35344,30749,2914,69007,2505,66502,23051,45956,626,366,25417,4108,50,1403,37037
2017,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418,419,426,447,465,442,406,417,451,439,438,420,323,230,191,29,2617,2571,773,5961,284,5677,1976,3985,33,76,2551,407,3,105,2786
2017,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,86,62,36,18,19,11,8,2,6,3,0,0,3,1,0,291,30,4,325,2,323,108,217,0,10,41,10,0,2,262
2017,Alabama,"Residential Facility, Age 3-5",All Disabilities,0,5,4,0,0,5,1,0,0,3,2,7,0,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,Alabama,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,10,16,24,24,38,44,65,66,74,111,111,63,23,22,1,120,471,109,700,4,696,226,474,3,2,301,22,1,3,368
2017,Alabama,Separate Class,All Disabilities,23,52,68,1,3,31,22,0,5,81,46,97,7,136,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,Alabama,"Separate School, Age 3-5",All Disabilities,6,16,27,0,2,10,3,0,2,32,22,27,0,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,Alabama,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,42,60,88,72,61,74,117,86,100,93,96,70,61,32,7,370,566,170,1106,15,1091,344,762,3,12,488,47,0,31,525
