student_ID,course_ID,subject,semester,section,pre_int,pre_uv,pre_percomp,pre_tv,post_int,post_uv,post_tv,post_percomp,enrollment_reason,enrollment_status,final_grade,time_spent
43146,FrScA-S216-02,FrScA,S216,02,4.2,3.6666666666666665,4,3.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,93.4537246,1555.1667
44638,OcnA-S116-01,OcnA,S116,01,4,3,3,3.5714285714285716,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,81.70184255,1382.7001
47448,FrScA-S216-01,FrScA,S216,01,4.2,3,3,3.7142857142857144,NA,NA,NA,NA,Other,Approved/Enrolled,88.48758465,860.4335
47979,OcnA-S216-01,OcnA,S216,01,4,3.6666666666666665,2.5,3.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,81.85259631,1598.6166
48797,PhysA-S116-01,PhysA,S116,01,3.8,3.6666666666666665,3.5,3.7142857142857144,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,84,1481.8
51943,FrScA-S216-03,FrScA,S216,03,3.8,3.6666666666666665,3.5,3.7142857142857144,NA,NA,NA,NA,Learning Preference of the Student,Withdrawn,NA,3.4501
52326,AnPhA-S216-01,AnPhA,S216,01,3.6,4,3,4,NA,NA,NA,NA,Other,Approved/Enrolled,83.5882656,1321.8164
52446,PhysA-S116-01,PhysA,S116,01,4.2,3.6666666666666665,3,4,3.5,3.6666666666666665,3.5714285714285716,3.5,Learning Preference of the Student,Approved/Enrolled,97.77777778,1390.2167
53447,FrScA-S116-01,FrScA,S116,01,3.8,2,3,3,3.75,2,3,3,Course Unavailable at Local School,Approved/Enrolled,96.11872146,1479.4166
53475,FrScA-S216-01,FrScA,S216,01,4.8,3.3333333333333335,4,4.142857142857143,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,81.03837472,1867.4169
54066,OcnA-S116-01,OcnA,S116,01,4.6,4.666666666666667,4,4.714285714285714,5,4.666666666666667,4.857142857142857,4,Other,Approved/Enrolled,93.90452261,2625.5164
54282,OcnA-S116-02,OcnA,S116,02,3.4,2,3.5,2.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,93.40033501,2025.1672
54342,OcnA-S116-02,OcnA,S116,02,4,3,3.5,3.5714285714285716,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,64.78224456,1581.0831
54346,OcnA-S116-01,OcnA,S116,01,4.4,2,3,3.2857142857142856,4,2.6666666666666665,3.4285714285714284,3.5,Course Unavailable at Local School,Approved/Enrolled,51.0921273,1191.3836
54434,PhysA-S116-01,PhysA,S116,01,5,5,4,5,3.75,4,3.857142857142857,4,Learning Preference of the Student,Approved/Enrolled,93.0625,1231.8666
54567,OcnA-S216-02,OcnA,S216,02,4,3.6666666666666665,3.5,3.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,65.84254606,1180.2664
55078,FrScA-S216-01,FrScA,S216,01,4.4,3.6666666666666665,3,4.142857142857143,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,97.74266366,2130.7497
55140,PhysA-S116-01,PhysA,S116,01,5,4,4.5,4.571428571428571,4.75,3.6666666666666665,4.285714285714286,3.5,Course Unavailable at Local School,Approved/Enrolled,73.78472222,2083.3167
55283,FrScA-S116-01,FrScA,S116,01,5,3.6666666666666665,4,4.428571428571429,NA,NA,NA,NA,Other,Withdrawn,NA,3.9167
56152,AnPhA-S116-02,AnPhA,S116,02,4.8,4.333333333333333,4,4.714285714285714,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,94.1248,4438.8165
57188,AnPhA-S116-02,AnPhA,S116,02,4,5,3.5,4.285714285714286,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,80.7344,5305.4334
57224,FrScA-S116-03,FrScA,S116,03,4.4,3,3.5,3.857142857142857,2.25,1.6666666666666667,2,4,Course Unavailable at Local School,Approved/Enrolled,87.09360731,2356.4668
57489,PhysA-S116-01,PhysA,S116,01,4.6,3.6666666666666665,4.5,4.142857142857143,4.25,4,4.142857142857143,4.5,Course Unavailable at Local School,Approved/Enrolled,94.79166667,1863.5169
57981,OcnA-S116-01,OcnA,S116,01,4.2,3.3333333333333335,2.5,3.857142857142857,4,4.333333333333333,4.142857142857143,4,Learning Preference of the Student,Approved/Enrolled,66.69011725,3343.3333
58168,AnPhA-S216-01,AnPhA,S216,01,4.2,4.666666666666667,3.5,4.285714285714286,NA,NA,NA,NA,Other,Approved/Enrolled,96.5216,433.3669
58178,OcnA-S116-01,OcnA,S116,01,4,4,4.5,4,3.75,4,3.857142857142857,4,Course Unavailable at Local School,Approved/Enrolled,92.68174204,3502.0004
