student_id,course_id,total_points_possible,total_points_earned,percentage_earned,subject,semester,section,Gradebook_Item,Grade_Category,FinalGradeCEMS,Points_Possible,Points_Earned,Gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,TimeSpent,TimeSpent_hours,TimeSpent_std
43146,FrScA-S216-02,3280,2220,0.676829268292683,FrScA,S216,02,POINTS EARNED & TOTAL COURSE POINTS,NA,93.4537246,5,NA,M,5,4,4,5,5,5,5,5,4,5,1555.1667,25.919445,-0.18051496412273402
44638,OcnA-S116-01,3531,2672,0.75672613990371,OcnA,S116,01,ATTEMPTED,NA,81.70184255,10,10,F,4,4,3,4,4,4,4,5,4,4,1382.7001,23.045001666666668,-0.3078031278514906
47448,FrScA-S216-01,2870,1897,0.6609756097560976,FrScA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,88.48758465,10,NA,M,5,4,4,5,5,4,4,5,3,5,860.4335,14.340558333333332,-0.6932595379092121
47979,OcnA-S216-01,4562,3090,0.6773345024112232,OcnA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,81.85259631,5,4,M,5,5,3,5,5,5,4,5,5,5,1598.6166,26.643610000000002,-0.14844696959394926
48797,PhysA-S116-01,2207,1910,0.8654281830539193,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,84,438,399,F,4,3,3,4,4,4,4,4,NA,3,1481.8,24.696666666666665,-0.23466291231582515
51943,FrScA-S216-03,4208,3596,0.8545627376425855,FrScA,S216,03,POINTS EARNED & TOTAL COURSE POINTS,NA,NA,5,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4501,0.057501666666666666,-1.3257521094101665
52326,AnPhA-S216-01,4325,2255,0.5213872832369942,AnPhA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.5882656,10,NA,M,5,5,3,5,5,5,4,5,5,5,1321.8164,22.030273333333334,-0.3527380565508011
52446,PhysA-S116-01,2086,1719,0.824065196548418,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,97.77777778,10,10,F,3,3,3,3,3,4,3,3,3,3,1390.2167,23.170278333333332,-0.30225553654115245
53447,FrScA-S116-01,4655,3149,0.6764769065520945,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,96.11872146,443,425,F,4,3,3,4,4,3,3,4,2,5,1479.4166,24.656943333333334,-0.23642196948649535
53475,FrScA-S116-02,1710,1402,0.8198830409356725,FrScA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,NA,5,2.5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
