CourseSectionOrigID,Bb_UserPK,EnrollmentStatus,EnrollmentReason,Gender,FinalGradeCEMS,Gradebook_Item,Item_Position,Gradebook_Type,Gradebook_Date,Grade_Category,Status,Points_Earned,Points_Attempted,Points_Possible,last_access_date
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,POINTS EARNED & TOTAL COURSE POINTS,3,T,NULL,,,578.33,0,625,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,WORK ATTEMPTED,7,T,NULL,,,578.33,625,625,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,0.1: Message Your Instructor,9,N,54:46.2,,,5,0,5,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,0.2: Intro Assignment - Discussion Board,10,N,03:38.0,Hw,,5,0,5,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,0.3: Intro Assignment - Submitting Files,11,N,06:53.9,Hw,,5,0,5,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,1.1: Quiz,12,N,47:31.2,Qz,,10,0,10,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,1.2: Quiz,13,N,22:08.2,Qz,,10,0,10,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,1.3: Create a Living Creature,14,N,54:05.9,Hw,,10,0,10,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,1.3: Create a Living Creature - Discussion Board,15,N,58:26.7,Hw,,9.25,0,10,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,1.4: Negative Feedback Loop Flowchart,16,N,12:06.7,Hw,,7.75,0,10,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,1.5: Quiz,17,N,33:25.6,Qz,,9.5,0,10,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,Unit 1 Assessment: Pickle Autopsy Lab,18,N,59:44.1,Hw,,30,0,30,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,PROGRESS CHECK 1 @ 10-02-15,19,P,NULL,,,101.5,105,105,33:50.5
AnPhA-S116-01,60186,Approved/Enrolled,Course Unavailable at Local School,M,86.272,2.1: Types of Membranes,20,N,29:12.2,Hw,,9,0,10,33:50.5
