RespondentId,StartDate,CompletedDate,LanguageCode,opdata_CourseID,opdata_username,"Q1MaincellgroupRow1","Q1MaincellgroupRow2","Q1MaincellgroupRow3","Q1MaincellgroupRow4","Q1MaincellgroupRow5","Q1MaincellgroupRow6","Q1MaincellgroupRow7","Q1MaincellgroupRow8","Q1MaincellgroupRow9","Q1MaincellgroupRow10"
426746,2015.08.24 14:11,,en,FrScA-S116-01,_80624_1,,,,,,,,,,
426775,2015.08.24 15:26,2015.08.24 15:26,en,BioA-S116-01,_80623_1,,,,,,,,,,
427483,2015.08.26 20:57,,en,OcnA-S116-03,_82588_1,,,,,,,,,,
429883,2015.09.02 11:40,2015.09.02 11:40,en,AnPhA-S116-01,_80623_1,1,1,1,1,1,1,1,1,1,1
430158,2015.09.03 9:02,2015.09.03 9:02,en,AnPhA-S116-01,_80624_1,,1,,,,,,,,
430161,2015.09.03 9:03,2015.09.03 9:03,en,AnPhA-S116-02,_80624_1,,,,,,,5,,,
430162,2015.09.03 9:04,2015.09.03 9:05,en,AnPhA-T116-01,_80624_1,,,,,,,,,,
430167,2015.09.03 9:14,2015.09.03 9:14,en,BioA-S116-01,_80624_1,,,,,,,,,,
430170,2015.09.03 9:15,2015.09.03 9:15,en,BioA-T116-01,_80624_1,,,,,,,,,,
430172,2015.09.03 9:15,2015.09.03 9:15,en,PhysA-S116-01,_80624_1,,,,,,,,,,
430174,2015.09.03 9:15,2015.09.03 9:15,en,PhysA-T116-01,_80624_1,,,,,,,,,,
430176,2015.09.03 9:16,2015.09.03 9:16,en,OcnA-S116-01,_80624_1,,,,,,,,,,
430179,2015.09.03 9:16,2015.09.03 9:16,en,OcnA-S116-02,_80624_1,,,,,,,,,,
430181,2015.09.03 9:17,2015.09.03 9:17,en,OcnA-S116-03,_80624_1,,,,,,,,,,
430183,2015.09.03 9:17,2015.09.03 9:17,en,OcnA-T116-01,_80624_1,,,,,,,,,,
430184,2015.09.03 9:18,2015.09.03 9:18,en,OcnA-T116-01,_80624_1,,,,,,,,,,
430188,2015.09.03 9:18,2015.09.03 9:18,en,FrScA-S116-01,_80624_1,,,,,,,,,,
430190,2015.09.03 9:19,2015.09.03 9:19,en,FrScA-S116-02,_80624_1,,,,,,,,,,
430192,2015.09.03 9:19,2015.09.03 9:19,en,FrScA-S116-03,_80624_1,,,,,,,,,,
430195,2015.09.03 9:20,2015.09.03 9:20,en,FrScA-S116-04,_80624_1,,,,,,,,,,
430197,2015.09.03 9:22,2015.09.03 9:22,en,FrScA-S116-05,_80624_1,,,,,,,,,,
430200,2015.09.03 9:22,2015.09.03 9:22,en,FrScA-T116-01,_80624_1,,,,,,,,,,
430222,2015.09.03 10:40,,en,AnPhA-S116-01,_53248_1,,,,,,,,,,
430439,2015.09.03 23:02,,en,PhysA-S116-01,_76185_1,,,,,,,,,,
