Course_Name,Course_ID,CU_Pk1,Item_Position,Gradebook_Item,Gradebook_Type,Gradebook_Date,Grade_Catagory,Status,Points_Earned,Points_Attempted,Points_Possible,last_access_date
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,3,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,552.83,0,625,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,4,WORK ATTEMPTED,T,NULL,,,552.83,595,595,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,9,0.1: Message Your Instructor,N,42:30.1,,,5,0,5,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,10,0.2: Intro Assignment - Discussion Board,N,01:09.2,Hw,,5,0,5,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,11,0.3: Intro Assignment - Submitting Files,N,18:09.4,Hw,,5,0,5,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,12,1.1: Quiz,N,40:13.3,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,13,1.2: Quiz,N,19:29.1,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,14,1.3: Create a Living Creature,N,28:06.9,Hw,,7.88,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,15,1.3: Create a Living Creature - Discussion Board,N,29:07.7,Hw,,4,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,16,1.4: Negative Feedback Loop Flowchart,N,00:54.7,Hw,,9.5,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,17,1.5: Quiz,N,02:20.2,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,18,Unit 1 Assessment: Pickle Autopsy Lab,N,15:41.5,Hw,,30,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,19,PROGRESS CHECK 1 @ 02-16-17,P,NULL,,,96.38,105,105,28:57.3
