CNTRYID,CNT,CNTSCHID,CNTTCHID,TEACHERID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,TC001Q01NA,TC002Q01NA,TC004Q01NA,TC005Q01NA,TC005Q02NA,TC006Q01NA,TC007Q01NA,TC007Q02NA,TC012Q01NA,TC013Q01NA,TC014Q01NA,TC015Q01NA,TC018Q01NA,TC018Q01NB,TC018Q02NA,TC018Q02NB,TC018Q03NA,TC018Q03NB,TC018Q04NA,TC018Q04NB,TC018Q05NA,TC018Q05NB,TC018Q06NA,TC018Q06NB,TC018Q07NA,TC018Q07NB,TC018Q08NA,TC018Q08NB,TC018Q09NA,TC018Q09NB,TC018Q10NA,TC018Q10NB,TC018Q11NA,TC018Q11NB,TC020Q01NA,TC020Q02NA,TC020Q03NA,TC020Q04NA,TC020Q05NA,TC020Q06NA,TC021Q01NA,TC026Q01NA,TC026Q02NA,TC026Q04NA,TC026Q05NA,TC026Q06NA,TC026Q07NA,TC026Q09NA,TC026Q10NA,TC028Q01NA,TC028Q02NA,TC028Q03NA,TC028Q04NA,TC028Q05NA,TC028Q06NA,TC028Q07NA,TC028Q08NA,TC029Q01NA,TC029Q02NA,TC029Q03NA,TC029Q04NA,TC030Q01NA,TC030Q02NA,TC030Q03NA,TC030Q04NA,TC039Q01NA,TC041Q01NA,TC041Q02NA,TC041Q03NA,TC041Q04NA,TC041Q05NA,TC041Q06NA,TC041Q07NA,TC041Q08NA,TC043Q01NA,TC031Q04NA,TC031Q07NA,TC031Q11NA,TC031Q13NA,TC031Q14NA,TC031Q15NA,TC031Q18NA,TC031Q20NA,TC037Q01NA,TC037Q02NA,TC037Q03NA,TC037Q04NA,TC037Q05NA,TC037Q06NA,TC037Q07NA,TC037Q08NA,TC037Q09NA,TC037Q10NA,TC037Q11NA,TC037Q12NA,TC037Q13NA,TC037Q14NA,TC037Q15NA,TC037Q16NA,TC037Q17NA,TC037Q18NA,TC037Q19NA,TC037Q20NA,TC037Q21NA,TC037Q22NA,TC033Q04NA,TC033Q05NA,TC033Q06NA,TC033Q08NA,TC034Q01NA,TC034Q02NA,TC034Q04NA,TC034Q06NA,TC045Q01NA,TC045Q01NB,TC045Q02NA,TC045Q02NB,TC045Q03NA,TC045Q03NB,TC045Q04NA,TC045Q04NB,TC045Q05NA,TC045Q05NB,TC045Q06NA,TC045Q06NB,TC045Q07NA,TC045Q07NB,TC045Q08NA,TC045Q08NB,TC045Q09NA,TC045Q09NB,TC045Q10NA,TC045Q10NB,TC045Q11NA,TC045Q11NB,TC045Q12NA,TC045Q12NB,TC045Q13NA,TC045Q13NB,TC045Q14NA,TC045Q14NB,TC045Q15NA,TC045Q15NB,TC060Q02NA,TC060Q04NA,TC060Q06NA,TC060Q07NA,TC060Q09NA,TC046Q01NA,TC046Q02NA,TC046Q03NA,TC046Q04NA,TC046Q05NA,TC046Q06NA,TC046Q07NA,TC046Q08NA,TC048Q01NA,TC048Q02NA,TC048Q03NA,TC051Q01NA,TC051Q02NA,TC051Q03NA,TC051Q04NA,TC051Q05NA,TC052Q01NA,TC052Q02NA,TC052Q03NA,TC052Q04NA,TC053Q01NA,TC053Q02NA,TC053Q03NA,TC054Q01NA,TC054Q02NA,TC054Q03NA,TC054Q04NA,TC054Q05NA,TC054Q06NA,TC054Q07NA,TC055Q01NA,TC055Q02NA,TC055Q03NA,TC055Q04NA,TC055Q05NA,TC055Q06NA,TC055Q07NA,TC055Q08NA,TC055Q11NA,TC055Q13NA,TC055Q14NA,EMPLSTATd,EMPLTIM1,EMPLTIM2,NSCHEMPL,OTT1,OTT2,NTEACH1,NTEACH2,NTEACH3,NTEACH4,NTEACH5,NTEACH6,NTEACH7,NTEACH8,NTEACH9,NTEACH10,NTEACH11,STTMG1,STTMG2,STTMG3,STTMG4,STTMG5,STTMG6,STTMG7,STTMG8,STTMG9,STTMG10,STTMG11,PROPDT20,SATJOB,SATTEACH,TCEDUSHORT,TCSTAFFSHORT,COLSCIT,SETEACH,SECONT,TC045Q01,TC045Q02,TC045Q03,TC045Q04,TC045Q05,TC045Q06,TC045Q07,TC045Q08,TC045Q09,TC045Q10,TC045Q11,TC045Q12,TC045Q13,TC045Q14,TC045Q15,EXCHT,TCLEAD,W_SCHGRNRABWT,VER_DAT,SCHID
840,USA,84000001,84002836,5,06MS,084000,84000,USA9797,8400000,1,2,313,1,51,3,1,NA,1,10,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,3,3,2,3,2,4,4,4,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,1,1,1,3,3,1,2,6,3,3,2,4,3,2,2,1,2,2,2,4,2,3,4,2,4,4,2,3,4,4,3,3,3,3,2,3,2,3,2,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0.7937,-0.2701,-1.3602,-1.6183,NA,NA,NA,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,-1.4137,0.0451,580.86349206,21DEC16,00001
840,USA,84000001,84002300,5,06MS,084000,84000,USA9797,8400000,1,2,313,1,37,3,1,1,2,2,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,3,3,2,3,2,3,3,3,2,2,2,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,3,3,3,3,3,1,2,1,4,4,4,3,2,6,2,4,2,2,3,2,2,1,4,2,2,3,2,2,4,1,3,2,1,3,2,1,1,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,-0.5239,-0.2701,0.1305,0.2326,NA,NA,NA,3,1,3,1,2,3,2,1,1,1,1,0,1,3,2,-0.334,0.0451,580.86349206,21DEC16,00001
840,USA,84000001,84002744,4,06MS,084000,84000,USA9797,8400000,1,2,313,2,63,1,1,1,5,10,41,4,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,1,1,2,3,2,2,3,3,3,3,3,1,2,2,NA,2,2,3,1,50,20,30,NA,75,25,NA,NA,1,4,3,3,3,4,3,3,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,2,3,3,3,2,3,3,4,3,3,3,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,3,2,0,0,0,0,0,1,1,1,-0.5239,-1.0297,-0.1427,-0.1588,-0.3589,-0.0763,1.3603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580.86349206,21DEC16,00001
840,USA,84000001,84004456,4,06MS,084000,84000,USA9797,8400000,1,2,313,2,NA,1,1,NA,3,35,37,4,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,1,1,1,1,3,3,2,3,2,3,3,3,2,2,3,2,3,2,2,2,70,5,20,5,50,25,25,NA,1,4,3,3,3,4,3,3,2,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,4,4,4,4,3,2,2,2,4,2,2,3,4,3,4,3,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,-0.5239,-0.2701,0.0047,0.5053,-0.3626,0.399,1.3603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580.86349206,21DEC16,00001
840,USA,84000001,84003193,NaN,06MS,084000,84000,USA9797,8400000,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580.86349206,21DEC16,00001
840,USA,84000001,84005254,5,06MS,084000,84000,USA9797,8400000,1,2,313,1,48,2,1,1,2,21,28,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,NA,1,1,1,1,3,3,2,3,2,3,3,3,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3,3,3,3,3,1,2,1,3,5,4,3,3,6,5,6,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,3,3,3,3,3,3,4,3,3,2,4,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.5239,-0.2701,-1.0738,-1.6183,NA,NA,NA,3,0,3,3,1,3,1,3,3,1,3,1,3,3,3,-0.2551,0.0451,580.86349206,21DEC16,00001
840,USA,84000001,84004678,5,06MS,084000,84000,USA9797,8400000,1,2,313,2,47,1,1,NA,16,21,25,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,1,1,1,3,3,2,3,3,3,3,3,1,1,3,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,4,3,3,4,3,1,2,2,3,3,2,2,2,3,2,1,2,3,1,1,1,2,2,1,3,4,1,1,4,1,1,2,1,2,3,3,3,3,3,2,3,3,2,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,-0.5239,-0.5963,0.1292,0.0417,NA,NA,NA,1,1,1,1,0,1,0,3,1,1,1,0,0,1,2,-1.2285,0.7818,580.86349206,21DEC16,00001
840,USA,84000001,84005815,5,06MS,084000,84000,USA9797,8400000,1,2,313,1,31,3,4,4,4,1,7,3,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,2,1,1,4,4,1,4,3,4,4,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,2,3,3,4,2,1,1,1,3,5,5,1,5,6,3,3,2,3,3,1,3,2,3,1,2,4,1,2,4,1,1,3,2,2,3,1,1,1,1,2,1,1,2,1,1,1,2,3,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,1.4514,0.5143,-1.0596,-1.6183,NA,NA,NA,3,1,1,1,3,3,0,1,1,1,3,0,1,1,3,-0.2376,-0.4393,580.86349206,21DEC16,00001
840,USA,84000001,84003452,5,06MS,084000,84000,USA9797,8400000,1,2,313,1,36,3,1,1,3,2,5,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,2,2,1,1,3,3,2,4,2,4,3,4,2,2,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,3,4,3,1,1,1,3,3,2,2,3,3,1,2,1,3,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0.9902,-0.2701,-1.0738,-0.1733,NA,NA,NA,2,2,0,1,0,1,0,1,1,0,0,0,0,1,1,-1.2285,0.4838,580.86349206,21DEC16,00001
840,USA,84000001,84004120,5,06MS,084000,84000,USA9797,8400000,1,2,313,1,52,3,1,1,3,12,29,3,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,2,1,1,1,4,3,1,3,1,3,4,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,3,3,2,3,2,1,2,2,3,6,3,3,3,6,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,1,3,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,3,0,1,0,1,0.1284,0.6391,-1.3602,-1.6183,NA,NA,NA,3,1,3,3,2,3,0,3,3,3,3,0,1,2,1,-0.245,-0.591,580.86349206,21DEC16,00001
