CNT,CNTRYID,SCHID,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC002Q01TA,SC002Q02TA,SC003Q01TA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q05NA,SC053Q06NA,SC053Q07TA,SC053Q08TA,SC053Q09TA,SC053Q10TA,SC053D11TA,SC059Q01NA,SC059Q02NA,SC059Q03NA,SC059Q04NA,SC059Q05NA,SC059Q06NA,SC059Q07NA,SC059Q08NA,SC052Q01NA,SC052Q02NA,SC009Q01TA,SC009Q02TA,SC009Q03TA,SC009Q04TA,SC009Q05TA,SC009Q06TA,SC009Q07TA,SC009Q08TA,SC009Q09TA,SC009Q10TA,SC009Q11TA,SC009Q12TA,SC009Q13TA,SC010Q01TA,SC010Q01TB,SC010Q01TC,SC010Q01TD,SC010Q01TE,SC010Q02TA,SC010Q02TB,SC010Q02TC,SC010Q02TD,SC010Q02TE,SC010Q03TA,SC010Q03TB,SC010Q03TC,SC010Q03TD,SC010Q03TE,SC010Q04TA,SC010Q04TB,SC010Q04TC,SC010Q04TD,SC010Q04TE,SC010Q05TA,SC010Q05TB,SC010Q05TC,SC010Q05TD,SC010Q05TE,SC010Q06TA,SC010Q06TB,SC010Q06TC,SC010Q06TD,SC010Q06TE,SC010Q07TA,SC010Q07TB,SC010Q07TC,SC010Q07TD,SC010Q07TE,SC010Q08TA,SC010Q08TB,SC010Q08TC,SC010Q08TD,SC010Q08TE,SC010Q09TA,SC010Q09TB,SC010Q09TC,SC010Q09TD,SC010Q09TE,SC010Q10TA,SC010Q10TB,SC010Q10TC,SC010Q10TD,SC010Q10TE,SC010Q11TA,SC010Q11TB,SC010Q11TC,SC010Q11TD,SC010Q11TE,SC010Q12TA,SC010Q12TB,SC010Q12TC,SC010Q12TD,SC010Q12TE,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC013Q01TA,SC014Q01NA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC019Q01NA01,SC019Q01NA02,SC019Q02NA01,SC019Q02NA02,SC019Q03NA01,SC019Q03NA02,SC025Q01NA,SC025Q02NA,SC027Q01NA,SC027Q02NA,SC027Q03NA,SC027Q04NA,SC032Q01TA,SC032Q02TA,SC032Q03TA,SC032Q04TA,SC034Q01NA,SC034Q02NA,SC034Q03TA,SC034Q04TA,SC035Q01NA,SC035Q01NB,SC035Q02TA,SC035Q02TB,SC035Q03TA,SC035Q03TB,SC035Q04TA,SC035Q04TB,SC035Q05TA,SC035Q05TB,SC035Q06TA,SC035Q06TB,SC035Q07TA,SC035Q07TB,SC035Q08TA,SC035Q08TB,SC035Q09NA,SC035Q09NB,SC035Q10TA,SC035Q10TB,SC035Q11NA,SC035Q11NB,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC040Q02NA,SC040Q03NA,SC040Q05NA,SC040Q11NA,SC040Q12NA,SC040Q15NA,SC040Q16NA,SC040Q17NA,SC041Q01NA,SC041Q03NA,SC041Q04NA,SC041Q05NA,SC041Q06NA,SC042Q01TA,SC042Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC063Q02NA,SC063Q03NA,SC063Q04NA,SC063Q06NA,SC063Q07NA,SC063Q09NA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SCHSIZE,CLSIZE,RATCMP1,RATCMP2,LEAD,LEADCOM,LEADINST,LEADPD,LEADTCH,RESPCUR,RESPRES,SCHAUT,TEACHPART,EDUSHORT,STAFFSHORT,PROAT5AB,PROAT5AM,PROAT6,PROATCE,TOTAT,PROSTAT,PROSTCE,PROSTMAS,TOTST,CREACTIV,SCIERES,STUBEHA,TEACHBEHA,STRATIO,SCHLTYPE,W_SCHGRNRABWT,SENWT,VER_DAT
USA,840,00001,84000001,06MS,084000,84000,USA0103,8400000,1,2,313,1,94,96,2,47,115,115,75,6,16,35,1,1,1,1,1,1,2,2,2,1,9999997,1,2,1,1,1,1,1,1,2,1,3,2,2,2,3,5,3,5,3,4,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,3,2,1,1,1,2,2,1,3,75,22,NA,1,2,2,1,2,2,3,2,19,3,11,0,11,2,9,0,0,0,2,0,2,0,2,0,76,44,1,2,1,1,2,1,1,1,1,2,5,3,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,1,3,1,1,3,2,1,1,1,1,2,2,2,8,17,19,1,2,2,2,3,3,2,3,2,3,1,1,1,2,2,2,24,47,5,91,190,18,2.4468,1,-0.7244,-1.0028,-0.7967,-0.2763,-0.6316,1.4806,1.769,1,7,0.2208,-0.3657,0.5854,0.439,0,0.5366,20.5,0.0976,1,1,2,2,7,-0.2299,1.347,9.2683,1,580.86349206,80.48937,17NOV16:12:20:57
USA,840,00003,84000003,06MS,084000,84000,USA0206,8400000,1,2,313,3,206,182,4,NA,482,482,482,9,130,1232,1,1,1,1,1,1,1,1,1,1,9999997,1,2,1,1,1,1,1,1,1,1,3,4,5,4,4,4,3,5,4,3,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,3,NA,1,NA,99,0,1,NA,1,1,2,1,1,1,1,1,116,NA,116,NA,116,NA,15,NA,2,NA,13,NA,13,NA,13,NA,100,100,1,1,1,1,1,1,1,2,2,2,4,5,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,3,3,20,9,45,2,NA,2,2,2,2,2,2,2,2,1,1,1,1,2,1,40,90,50,25,388,28,NA,1,-0.2991,0.5616,0.0557,-0.2002,-0.9399,-1.0277,-0.4477,0.5,3,-1.2541,-0.7903,1,0.1293,0.0172,1,116,0.1121,1,1,13,3,7,0.1536,0.2229,3.3448,3,52.31283425,7.24891,17NOV16:12:20:57
USA,840,00004,84000004,06MS,084000,84000,USA0206,8400000,1,2,313,5,237,279,4,186,180,180,180,6,33,50,1,1,1,1,2,1,2,2,1,1,9999997,1,1,1,2,1,1,2,2,2,1,3,4,4,2,5,4,5,6,3,4,2,4,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,3,3,1,1,NA,97,1,2,NA,2,1,3,1,2,2,2,3,42,0,27,NA,19,NA,22,NA,1,NA,5,NA,3,NA,5,NA,75,100,1,2,1,1,1,1,1,2,2,2,3,3,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,3,3,1,2,1,1,2,1,3,3,1,1,1,1,2,2,2,NA,10,90,3,2,3,2,1,2,1,3,2,3,1,1,1,1,1,1,20,50,25,20,516,28,0.9677,1,0.0302,0.4393,0.3719,0.0231,-0.6316,-0.4196,2.2968,0.92,6,0.2467,-0.1049,0.4524,0.5238,0.0238,0.6429,42,0.119,0.6,1,5,3,5,0.4838,0.7561,12.2857,3,171.63427059,23.7831,17NOV16:12:20:57
USA,840,00006,84000006,06MS,084000,84000,USA0206,8400000,1,2,313,3,820,759,3,500,200,200,100,30,120,180,1,1,1,1,1,1,1,1,1,1,9999997,1,1,1,1,1,1,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,100,0,0,NA,2,2,3,2,2,2,3,2,120,NA,120,NA,120,NA,20,NA,2,NA,15,NA,15,NA,15,NA,100,100,1,1,1,1,1,1,1,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,7,8,62,2,2,2,3,3,2,3,2,2,3,1,1,1,1,1,2,11,25,23,25,1579,23,0.4,1,1.151,1.4214,0.954,0.3642,0.7155,-0.9137,-0.4741,0.92,4,0.2208,0.5382,1,0.1667,0.0167,1,120,0.125,1,1,15,3,6,0.511,0.9721,13.1583,3,43.432861807,6.01843,17NOV16:12:20:57
USA,840,00007,84000007,06MS,084000,84000,USA0308,8400000,1,2,313,4,800,750,5,400,900,900,500,100,100,100,1,1,1,1,1,1,1,1,1,1,9999997,1,1,2,1,1,1,2,1,1,1,5,5,5,5,6,5,5,6,5,6,5,6,5,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,1,2,1,2,1,1,NA,100,NA,NA,NA,1,2,1,1,2,2,1,1,70,14,NA,NA,NA,NA,41,NA,1,NA,8,NA,7,NA,8,NA,100,100,1,1,1,1,1,1,1,2,2,2,5,5,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,9,12,43,3,3,2,2,2,2,2,3,2,2,1,1,1,1,1,1,53,83,22,6,1550,33,2.25,1,1.5988,1.4214,1.255,1.0958,1.1271,-0.4196,1.2412,1,4,-0.849,-0.8076,NA,0.5325,0.013,NA,77,0.1039,0.875,1,8,3,6,0.8947,0.6298,20.1299,3,63.791260693,8.83946,17NOV16:12:20:57
USA,840,00008,84000008,06MS,084000,84000,USA0308,8400000,1,2,313,1,131,92,1,15,15,15,15,20,22,24,1,2,1,1,1,1,2,2,2,1,9999997,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,3,1,1,NA,100,NA,NA,NA,2,1,2,2,2,1,1,1,19,NA,19,NA,5,NA,14,NA,0,NA,1,NA,1,NA,1,NA,40,NA,1,1,1,1,1,2,1,2,2,2,5,5,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,3,1,1,1,1,1,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,NA,11,63,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,NA,NA,NA,NA,223,13,1,1,-6.7373,-4.8252,-3.9691,-3.8093,-3.8633,0.9105,0.7134,0.92,4,-0.9916,0.0242,0.2632,0.7368,0,1,19,0.0526,1,1,1,1,4,-1.458,-0.5434,11.7368,3,1027.5162273,142.38136,17NOV16:12:20:57
USA,840,00009,84000009,06MS,084000,84000,USA0308,8400000,1,2,313,3,33,25,1,3,75,75,40,3,4,12,2,2,1,1,2,2,2,2,2,1,9999997,2,2,1,2,2,2,2,2,1,1,5,5,5,3,4,3,5,6,6,5,4,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,3,3,2,3,1,3,NA,1,NA,100,NA,NA,NA,3,1,1,1,1,1,1,1,4,NA,4,NA,4,NA,4,NA,0,NA,1,NA,1,NA,1,NA,50,98,1,1,1,2,2,1,1,2,2,2,4,5,1,1,1,1,1,1,2,2,2,2,1,1,2,NA,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,3,1,3,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,3,NA,NA,66,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,30,50,5,10,58,13,NA,NA,0.6085,1.2157,0.3157,-0.2168,0.8375,-0.6572,-0.0783,1,10,-1.2541,-0.5392,1,1,0,1,4,0.25,1,1,1,0,1,1.7215,-2.1182,14.5,3,1069.0241021,148.13305,17NOV16:12:20:57
USA,840,00011,84000011,06MS,084000,84000,USA0104,8400000,1,2,313,4,896,959,5,474,762,762,522,8,150,300,1,1,1,1,1,1,1,1,1,1,9999997,1,1,1,1,1,1,2,1,1,1,4,3,6,6,6,6,6,6,6,6,6,6,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,1,2,2,2,3,2,1,NA,99,0,1,0,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,NA,12,NA,100,100,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,16,10,54,2,2,3,2,2,2,1,2,2,2,1,1,1,1,1,1,68,80,3,5,1855,33,1.6076,1,2.3219,1.1008,2.2317,1.8133,2.3955,0.3405,1.769,1,3,-1.2541,-0.7903,NA,NA,NA,NA,NA,NA,1,1,12,3,7,0.3058,-0.1073,NA,3,47.010989307,6.51424,17NOV16:12:20:57
USA,840,00012,84000012,06MS,084000,84000,USA0308,8400000,1,2,313,2,257,270,2,126,126,126,126,0,40,60,1,1,1,1,1,2,2,1,1,1,9999997,1,1,1,1,1,1,2,2,1,1,2,3,4,2,5,3,3,4,5,5,1,3,4,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,2,1,1,1,NA,100,0,0,0,1,1,1,1,1,1,3,3,35,4,35,NA,NA,NA,21,NA,1,NA,5,NA,5,NA,5,NA,55,80,1,2,1,1,1,2,1,1,2,2,5,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,4,16,2,2,2,3,3,2,2,3,1,1,1,1,1,1,1,1,10,20,5,15,527,18,1,1,-0.3546,0.0788,-0.1069,-0.9907,0.2029,1.4806,1.769,0.92,5,0.3922,-1.6823,NA,0.5676,0.027,0.9459,37,0.1351,1,1,5,3,6,0.511,-0.1024,14.2432,3,175.98346066,24.38576,17NOV16:12:20:57
USA,840,00013,84000013,06MS,084000,84000,USA0102,8400000,1,2,313,3,723,778,2,370,500,500,370,55,100,250,1,1,1,1,1,1,1,1,1,1,9999997,1,2,1,2,1,1,2,1,1,1,4,5,6,6,4,6,4,6,5,6,3,5,4,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,3,1,1,NA,100,0,0,0,1,2,1,2,1,1,1,2,175,5,173,5,175,5,140,5,4,0,19,0,19,0,19,0,100,100,1,1,1,1,1,1,1,NA,2,2,4,5,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,10,11,53,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,39,79,3,25,1501,18,1.3514,1,1.0958,1.3744,0.674,0.9596,0.7788,-0.7997,-0.493,0.75,5,-0.6423,-0.214,1,0.8028,0.0225,0.9887,177.5,0.107,1,1,19,3,5,0.8947,0.2229,8.4563,3,56.85357422,7.87811,17NOV16:12:20:57
